Gene,Score
HIST1H2AE,0.8032077
KLB,0.8031097
MMS22L,0.802931
C3,0.80286676
WDR48,0.8028128
TTLL5,0.8027514
SESN1,0.8026708
BCL9L,0.8025423
PKMYT1,0.80229735
ZNF257,0.8022179
PPP4R4,0.8017686
RALGDS,0.80174935
GORAB,0.8010618
TSHZ1,0.800975
MTA1,0.8008524
NOS1,0.80027413
NBEAL2,0.79954875
TFE3,0.7994396
PTPRT,0.79913837
DSC1,0.799078
PRKG2,0.7989612
DHX29,0.7983849
SPEG,0.7983296
SHC1,0.7978967
DTX3,0.79766107
COL3A1,0.7975837
TGFB3,0.79755753
VWA5A,0.7972153
PSENEN,0.79715145
PCSK5,0.7964462
CCNG1,0.7960108
CLMN,0.79597205
HCN3,0.7957359
ASTN2,0.795685
KIFC1,0.7955261
TUBB3,0.7955089
PKNOX2,0.79534733
ESCO1,0.7951523
GNL3L,0.7951172
PMAIP1,0.79455394
WDR62,0.7945204
GADD45G,0.7942127
CSTF2T,0.7942028
EDARADD,0.7942006
MEFV,0.7936246
POLN,0.79357654
KIF14,0.7935209
PTCH1,0.7932088
TMEM214,0.79317296
TRPA1,0.79306376
SHISA5,0.79290843
LRRFIP1,0.79259795
LATS1,0.79230493
SMARCA5,0.7921871
PSG3,0.79189914
TOX4,0.791543
CTBP2,0.791512
RRAS,0.7910486
DDX5,0.79068357
THBS3,0.79032385
MIB1,0.7902921
LAMB2,0.7902727
NKX2-1,0.7901851
DTX2,0.78991216
CNTNAP3,0.78896123
TLR8,0.78882295
HIST1H3G,0.7887937
PTPRC,0.78875333
GLUL,0.78754026
CMYA5,0.7873653
FRS2,0.78732723
KRT14,0.7870063
WNT3,0.78694856
SDK2,0.78693646
PEAK1,0.7866573
CA4,0.78652114
PIK3AP1,0.7865209
PCDHB12,0.7864323
RBM12,0.7861569
CD2AP,0.78602165
COL9A1,0.7859443
RGS12,0.7856796
TNKS1BP1,0.7853348
EEA1,0.78527653
HNRNPA1,0.7849175
MINK1,0.7846848
MEGF10,0.78465086
TINAG,0.78400844
FKBP15,0.7837201
HMMR,0.78336006
NR3C2,0.7832346
HDLBP,0.78322875
VAV2,0.7831408
SCFD1,0.7830512
IL2RG,0.7829064
ZNF804B,0.78284955
MAGED1,0.78265446
COL5A2,0.7823877
STEAP3,0.78219694
TOP2A,0.7817183
KMT2E,0.78130025
SRGAP2,0.78099006
DUSP3,0.7806956
ACPP,0.7805611
MARK2,0.78043085
PHLDB2,0.78036803
COL10A1,0.7803146
SMARCD3,0.7799293
ATP2B1,0.779882
SLC9A9,0.77970475
TNF,0.77940065
EI24,0.77933156
TGFB2,0.7791029
ZFHX3,0.7788978
NUP98,0.77884907
ARHGAP36,0.77874017
RAP1B,0.77869755
PRLR,0.7786786
DLK1,0.7781362
AFF3,0.7781257
ZMYND8,0.77806306
TDRD1,0.7780293
SEC16A,0.7778052
CARD11,0.7777102
TRHDE,0.7776196
KANK1,0.7774935
AMER1,0.7771272
PLCH1,0.7770374
NUP160,0.7770246
